k_wil;nama_sls;rt;art;validasi;perlakuan;cek;catatan
1206051002000100-20                            ;DUSUN 1;20;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206051014000500-32                            ;DUSUN 5;32;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052001000100-47                            ;DUSUN NASSAU;47;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052001000200-40                            ;DUSUN PATTIL;40;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052002000300-27                            ;DUSUN BATU SANDAR;27;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052007000200-13                            ;DUSUN 2 BATUMANUMPAK 2;13;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052007000200-24                            ;DUSUN 2 BATUMANUMPAK 2;24;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052007000300-48                            ;DUSUN 3 MATU MANUMPAK 3;48;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052007000400-26                            ;DUSUN 4 BATUMANUMPAK 1;26;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052008000200-114                           ;DUSUN SITARAK;114;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052008000200-122                           ;DUSUN SITARAK;122;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052008000200-16                            ;DUSUN SITARAK;16;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052008000200-52                            ;DUSUN SITARAK;52;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052008000300-111                           ;DUSUN SIJUNGKAT;111;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052009000200-128                           ;DUSUN SIPANGE;128;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052010000300-16                            ;DUSUN SIANTARASA;16;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052010000300-17                            ;DUSUN SIANTARASA;17;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052010000300-18                            ;DUSUN SIANTARASA;18;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052010000300-27                            ;DUSUN SIANTARASA;27;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052010000300-38                            ;DUSUN SIANTARASA;38;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052010000300-39                            ;DUSUN SIANTARASA;39;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206052010000300-4                             ;DUSUN SIANTARASA;4;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206060022000200-13                            ;DUSUN 2;13;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206061006000200-38                            ;DUSUN 2;38;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206061010000200-19                            ;DUSUN 2;19;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206061010000200-50                            ;DUSUN 2;50;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206061010000200-78                            ;DUSUN 2;78;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206070026000400-3                             ;LINGKUNGAN 4;3;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206070028000200-115                           ;DUSUN 2;115;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
1206070028000200-141                           ;DUSUN 2;141;;Lapangan Usaha dan Status Pekerjaan Pekerja Bebas Tidak Konsisten;Sesuaikan kode lapangan usaha dan baca rincian pekerjaan dengan kode status pekerjaan (rincian 417), apakah kodenya Pekerja bebas di non pertanian atau pertanian(rincian 418). Sepertinya ini tidak berhubungan antara Status pekerjaan dengan lapangan usahanya, jika diganti entrian maka dokumen juga harus diganti;;
